index,user_id,business_id,true_rating,pred_rating,llm_pred,q_pred,MAE_partial,RMSE_partial
73,gn1iSuMgywBEaWcuEuuVjQ,n9uQrKjd7Yn35NA3vGRtpw,5.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
74,Dn6zGa9HXNLr3a71PhMySg,IYzBKfT_JolGL-MA4STQYA,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
75,iiaWyeXrdiddVVshvv7mzA,v9QmdqvmKazfMmZGfXLthA,3.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
76,7OcQbFZ9kRYgDD5BUos0Wg,5X0M4waoFm4kH612ezVvtA,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
77,uNGpUVl1T5NaJBf5P4Il4w,ReV4Q3rEJ8neicQPc6pC0w,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
78,0xLek5Zgnp4k6nsbI66YZw,RpiYZ9IMI95-ytpxgS1ChQ,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
79,eTXLP4lfgpZqD5r5HfKZMQ,aqwFURtZu1oAEWtPAUIqOw,4.0,3.0,3.0,3.0,0.5219999999999999,0.8335466393669881
80,_xrlZRaGPfgDpVydY5D1IQ,XScJI9exHgC0u_c3vmm1vQ,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
81,PV0U0arT_AUfjVBtrKfPSA,lML_PZePqlBBWpD1tqRdaA,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
82,EtUPHXUGrVMOkKYSpRlrwg,yjcIKn2T2QY_DjXWACsAFw,3.0,3.0,3.0,3.0,0.5219999999999999,0.8335466393669881
83,-rBMUsCpWE3103q6ombunA,2aZNVfzU-3672SjRHnPoOA,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
84,2ojg5WZeDIiRBJbDloxbOA,ktMvtPI3TBkTOpSf1sTXWw,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
85,IaxoYH3rgl4GJqXQBuu7zQ,qt_E6txwQ1h62wyv8701UQ,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
86,8-3QRjDGZvcv6G6daKcIgw,pOPggEGV0gy8U0v-lHByRA,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
87,3iC_nXdJQGhXtRNT8PUxYQ,XmcERQbYrb_3aynqtdyc1w,3.0,2.7,2.5,3.0,0.5219999999999999,0.8335466393669881
88,Dn6zGa9HXNLr3a71PhMySg,h_RQXD7IKwDkVU_n67UG4w,4.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
89,HVAz1kANuNrX3zqVe4iRPw,HDkjdWPwMX9d2G-5QYUq0Q,3.0,1.0,1.0,1.0,0.5219999999999999,0.8335466393669881
90,dzSit2MTSrr9s-FVCnzeYA,Vf8ZDtjOLN6lkRFatBmezw,1.0,2.4000000000000004,2.0,3.0,0.5219999999999999,0.8335466393669881
91,2-nj1SOp90Q7MAoMM1qwug,HH9x7WcNQR3cnwkHo_YL0w,4.0,4.1,3.5,5.0,0.5219999999999999,0.8335466393669881
92,aoYuIUWl79KEC8Fkwxb6Eg,JWqbjm0wtbbciu_Gb6Eqyw,5.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
93,375zEYUUn2_I0XgFddyEWQ,POwyAA0vf4PvWe1L8Oc3Eg,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
94,5QRQJNdt3p6E7FWR9FEX3A,t5qfe9lOZiMyvHfAqwnAlw,4.0,4.1,3.5,5.0,0.5219999999999999,0.8335466393669881
95,RoO9qXnGfIXuCCQz9b8RDw,nPAHRlw64K0svlqNSLrTXw,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
96,3Hn5PexeY0tir0uFWk4jJg,CaQNvsHVpWuDWTyHVyuU_Q,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
97,mPAGDpXNDyiQRMpNPiuqYQ,rAytSQU5RQHvXe1Wl_j37w,3.0,2.4000000000000004,2.0,3.0,0.5219999999999999,0.8335466393669881
98,Vqe01M8MkBXA3eCBUWZpQg,VblfPP6EwV70ldrztBHA1A,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
99,w3kBEVUMf4C6GkcBT4vPuQ,3PlpoDgeAQAreL8FM2LelA,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
